Cage;MaxOccupancy;Comment;IsBreedingCage
2M1;7;;FALSE
2M2;7;;FALSE
2M2B;7;;FALSE
2M3;7;;TRUE
2M3B;7;;FALSE
2M4;7;;TRUE
2M4B;7;;TRUE
2O1;7;;TRUE
2O1B;7;;TRUE
2O2;7;;FALSE
2O2B;7;;FALSE
2O3;7;;FALSE
2O3B;7;;FALSE
2O4;7;;TRUE
2O4B;7;;FALSE
2U1;7;;TRUE
2U1B;7;;TRUE
2U2;7;;TRUE
2U2B;7;;TRUE
2U3;7;;TRUE
2U3B;7;;TRUE
2U4;7;;TRUE
2U4B;7;;TRUE
A;40;BF cage;TRUE
A-O;40;;FALSE
A-U;40;;FALSE
A-UL;0;Breeding Break Cage;FALSE
A-UR;0;;FALSE
E1;4;;FALSE
E10;4;;FALSE
E11;4;;FALSE
E12;4;;FALSE
E2;4;;FALSE
E3;4;;FALSE
E4;4;;FALSE
E5;4;;FALSE
E6;4;;FALSE
E7;4;;FALSE
E8;4;;FALSE
E9;4;;FALSE
FJ1;10;;FALSE
FJ1B;10;;FALSE
FJ2;10;;FALSE
FJ2B;10;;FALSE
FJ3;10;;FALSE
FJ4;10;;FALSE
FJ5;10;;FALSE
FJ6;10;;FALSE
FJ7;10;;FALSE
FJ8;10;;FALSE
IS10;7;;TRUE
IS2;7;;TRUE
IS6;2;;FALSE
KM;25;;FALSE
KO;25;;FALSE
KU;25;;FALSE
M1;7;;TRUE
M1B;7;;TRUE
M2;7;;TRUE
M2B;7;;TRUE
M3;7;;TRUE
M3B;7;;TRUE
M4;7;;TRUE
M4B;7;;TRUE
M5;7;;TRUE
M5B;7;;TRUE
M6;7;;TRUE
M6B;7;;TRUE
M7;7;;TRUE
M7B;7;;TRUE
MK;15;;FALSE
O1;7;;TRUE
O1B;7;;TRUE
O2;7;;TRUE
O2B;7;;TRUE
O3;7;;TRUE
O3B;7;;TRUE
O4;7;;TRUE
O4B;7;;TRUE
O5;7;;TRUE
O5B;7;;TRUE
O6;7;;TRUE
O6B;7;;TRUE
O7;7;;TRUE
O7B;7;;TRUE
R1;6;;FALSE
R2;6;;FALSE
R3;6;;FALSE
R4;6;;FALSE
R5;6;;FALSE
R6;6;;FALSE
R7;6;;FALSE
R8;6;;FALSE
R9;11;;FALSE
U1;7;;TRUE
U1B;7;;TRUE
U2;7;;TRUE
U2B;7;;TRUE
U3;7;;TRUE
U3B;7;;TRUE
U4;7;;TRUE
U4B;7;;TRUE
U5;7;;TRUE
U5B;7;;TRUE
U6;7;;TRUE
U6B;7;;TRUE
U7;7;;TRUE
U7B;7;;TRUE
ZZ1;7;;FALSE
ZZ2;7;;FALSE
ZZ-M;20;;FALSE
ZZ-O;20;;FALSE
ZZ-U;20;;FALSE
